queue_name,queue_slug,scenario_id,priority,metric,n,mean,std,ci95_low,ci95_high
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,base,alta,arrivals,30,54016.7,213.14349222029293,53940.427580866,54092.97241913399
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,base,alta,accepted,30,54016.7,213.14349222029293,53940.427580866,54092.97241913399
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,base,alta,served,30,54015.86666666667,213.22090428236277,53939.56654598203,54092.16678735131
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,base,alta,dropped,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,base,alta,loss_probability,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,base,alta,throughput,30,60.01762962962962,0.23691211586929214,59.9328517177578,60.102407541501435
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,base,alta,mean_waiting_time,30,0.01589515618391831,0.0003646386795696465,0.015764671908227373,0.01602564045960925
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,base,alta,mean_system_time,30,0.019894656952224248,0.00037321217030060315,0.01976110469227697,0.020028209212171525
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,base,baixa,arrivals,30,125920.7,327.6743705318563,125803.44323241901,126037.95676758098
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,base,baixa,accepted,30,125920.7,327.6743705318563,125803.44323241901,126037.95676758098
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,base,baixa,served,30,125918.03333333334,328.51835442696705,125800.47454999425,126035.59211667243
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,base,baixa,dropped,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,base,baixa,loss_probability,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,base,baixa,throughput,30,139.90892592592596,0.36502039380774154,139.77830505554917,140.03954679630274
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,base,baixa,mean_waiting_time,30,0.015878807262193213,0.000376902292573449,0.015743934508949526,0.0160136800154369
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,base,baixa,mean_system_time,30,0.01987736257146289,0.00038142076803634285,0.01974087290254065,0.02001385224038513
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_50,alta,arrivals,30,33754.23333333333,172.18207751125536,33692.618768203996,33815.84789846266
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_50,alta,accepted,30,33754.23333333333,172.18207751125536,33692.618768203996,33815.84789846266
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_50,alta,served,30,33754.03333333333,172.1383732356905,33692.434407578156,33815.63225908851
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_50,alta,dropped,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_50,alta,loss_probability,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_50,alta,throughput,30,37.504481481481484,0.19126485915076696,37.4360382306424,37.572924732320566
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_50,alta,mean_waiting_time,30,0.003986818146824675,6.853103750810721e-05,0.003962294630004826,0.004011341663644525
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_50,alta,mean_system_time,30,0.007988593710846294,8.204883404378312e-05,0.007959232912660746,0.008017954509031842
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_50,baixa,arrivals,30,78747.16666666667,295.7137576048528,78641.34685753821,78852.98647579513
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_50,baixa,accepted,30,78747.16666666667,295.7137576048528,78641.34685753821,78852.98647579513
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_50,baixa,served,30,78746.1,295.4082330232707,78640.38952143895,78851.81047856106
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_50,baixa,dropped,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_50,baixa,loss_probability,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_50,baixa,throughput,30,87.49566666666668,0.328231370025858,87.37821057937661,87.61312275395674
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_50,baixa,mean_waiting_time,30,0.003985204926801429,6.436348555235353e-05,0.003962172749295863,0.004008237104306995
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_50,baixa,mean_system_time,30,0.007978987311872169,7.270954862880231e-05,0.007952968534051226,0.00800500608969311
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_70,alta,arrivals,30,47270.96666666667,183.81990499199037,47205.187558458056,47336.74577487528
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_70,alta,accepted,30,47270.96666666667,183.81990499199037,47205.187558458056,47336.74577487528
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_70,alta,served,30,47270.13333333333,183.60973104204837,47204.42943490679,47335.83723175987
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_70,alta,dropped,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_70,alta,loss_probability,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_70,alta,throughput,30,52.52237037037038,0.20401081226894255,52.44936603878534,52.59537470195542
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_70,alta,mean_waiting_time,30,0.009296449204970574,0.00020774545235426503,0.009222108449594524,0.009370789960346623
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_70,alta,mean_system_time,30,0.013297205956914627,0.00021781359057389493,0.013219262364547462,0.013375149549281791
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_70,baixa,arrivals,30,110249.23333333334,317.29239026415405,110135.69170967802,110362.77495698865
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_70,baixa,accepted,30,110249.23333333334,317.29239026415405,110135.69170967802,110362.77495698865
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_70,baixa,served,30,110247.83333333333,317.2791747225835,110134.29643879883,110361.37022786782
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_70,baixa,dropped,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_70,baixa,loss_probability,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_70,baixa,throughput,30,122.49759259259257,0.3525324163584251,122.37144048755424,122.6237446976309
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_70,baixa,mean_waiting_time,30,0.009287545803792492,0.00020128518863589124,0.00921551682409822,0.009359574783486764
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_70,baixa,mean_system_time,30,0.013285704691193055,0.00020889400522536777,0.013210952931450559,0.01336045645093555
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_90,alta,arrivals,30,60788.8,236.76372625249314,60704.07518867059,60873.524811329415
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_90,alta,accepted,30,60788.8,236.76372625249314,60704.07518867059,60873.524811329415
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_90,alta,served,30,60785.833333333336,235.37894367686496,60701.60406008448,60870.06260658219
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_90,alta,dropped,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_90,alta,loss_probability,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_90,alta,throughput,30,67.53981481481482,0.2615321596409621,67.4462267334272,67.63340289620244
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_90,alta,mean_waiting_time,30,0.03666453937233929,0.0019736710616917764,0.0359582702534379,0.03737080849124067
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_90,alta,mean_system_time,30,0.040664366068597274,0.0019824246873468565,0.039954964504984807,0.04137376763220974
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_90,baixa,arrivals,30,141830.83333333334,392.11496232375646,141690.51679613334,141971.14987053335
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_90,baixa,accepted,30,141830.83333333334,392.11496232375646,141690.51679613334,141971.14987053335
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_90,baixa,served,30,141824.46666666667,392.1363004886433,141684.14249370244,141964.7908396309
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_90,baixa,dropped,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_90,baixa,loss_probability,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_90,baixa,throughput,30,157.58274074074077,0.43570700054293837,157.42682499300273,157.73865648847882
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_90,baixa,mean_waiting_time,30,0.03670282079179491,0.0020726120480620883,0.03596114609563026,0.03744449548795956
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_90,baixa,mean_system_time,30,0.04070783443124611,0.002074527586739102,0.03996547426836925,0.04145019459412296
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_95,alta,arrivals,30,64122.066666666666,219.8654656568551,64043.388820231,64200.744513102334
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_95,alta,accepted,30,64122.066666666666,219.8654656568551,64043.388820231,64200.744513102334
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_95,alta,served,30,64116.066666666666,219.6693335264484,64037.459005212484,64194.67432812085
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_95,alta,dropped,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_95,alta,loss_probability,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_95,alta,throughput,30,71.24007407407407,0.24407703725160873,71.15273222801387,71.32741592013427
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_95,alta,mean_waiting_time,30,0.07618684967756846,0.005963411785859344,0.07405287017642767,0.07832082917870925
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_95,alta,mean_system_time,30,0.08019156218515074,0.005967287589017504,0.07805619574566207,0.0823269286246394
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_95,baixa,arrivals,30,149612.4,339.54874719859873,149490.89404130063,149733.90595869935
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_95,baixa,accepted,30,149612.4,339.54874719859873,149490.89404130063,149733.90595869935
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_95,baixa,served,30,149597.5,344.3796772008556,149474.26531520116,149720.73468479884
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_95,baixa,dropped,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_95,baixa,loss_probability,30,0.0,0.0,0.0,0.0
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_95,baixa,throughput,30,166.2194444444444,0.38264408577872794,166.08251701689014,166.35637187199868
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_95,baixa,mean_waiting_time,30,0.07615515217691736,0.005860299883308435,0.07405807079622652,0.0782522335576082
Fila M/M/1/∞/∞/∞/FCFS,mm1_buffer_infinito_fcfs,rho_0_95,baixa,mean_system_time,30,0.08015405470482204,0.005867460713277437,0.07805441085403626,0.08225369855560781
