queue_name,queue_slug,scenario_id,replication,seed,lambda_rate,mu_rate,rho,K,N,p_high,servers,service_distribution,sim_time,warmup_time,measured_time,arrivals_total,arrivals_high,arrivals_low,accepted_total,accepted_high,accepted_low,served_total,served_high,served_low,dropped_total,dropped_high,dropped_low,replaced_low,loss_probability_total,loss_probability_high,loss_probability_low,replacement_probability_low,throughput_total,throughput_high,throughput_low,server_utilization,mean_system_occupancy,mean_queue_occupancy,mean_waiting_time,mean_system_time,mean_service_time,p50_system_time,p95_system_time,p99_system_time,mean_waiting_time_high,mean_waiting_time_low,mean_system_time_high,mean_system_time_low,little_law_error_abs,little_law_error_rel,mean_residence_time_admitted,departed_admitted_total,admitted_departure_rate,little_law_error_admitted
Fila M/M/m/∞/∞/∞/FCFS,mmm_buffer_infinito_fcfs,base,0,5474028,200.0,250.0,0.8,,,0.3,2,exponential,1000.0,100.0,900.0,179770,53640,126130,179770,53640,126130,179770,53640,126130,0,0,0,0,0.0,0.0,0.0,0.0,199.74444444444444,59.6,140.14444444444445,0.4000682575528201,0.9513883715386007,0.15125185643296063,0.0007572195176026717,0.004762980995085171,0.004005761477482507,0.003442581503520614,0.013844520192240847,0.020427308728476985,0.0007564784509297691,0.0007575346751094862,0.0047673288276751935,0.004761131968365685,9.378775865931388e-06,9.857988752546849e-06,0.004762980995085171,179770,199.74444444444444,9.378775865931388e-06
Fila M/M/m/∞/∞/∞/FCFS,mmm_buffer_infinito_fcfs,base,1,5475028,200.0,250.0,0.8,,,0.3,2,exponential,1000.0,100.0,900.0,180173,53938,126235,180173,53938,126235,180173,53938,126235,0,0,0,0,0.0,0.0,0.0,0.0,200.19222222222223,59.931111111111115,140.26111111111112,0.3990021216192433,0.947633179885341,0.1496289366468544,0.0007474263234900289,0.004733616368139549,0.003986190044649534,0.003411909904116328,0.013692041080537364,0.020370742019061933,0.0007497138724755746,0.0007464488939563626,0.0047435711280969725,0.004729362873921752,0.0,0.0,0.004733616368139549,180173,200.19222222222223,0.0
Fila M/M/m/∞/∞/∞/FCFS,mmm_buffer_infinito_fcfs,base,2,5476028,200.0,250.0,0.8,,,0.3,2,exponential,1000.0,100.0,900.0,179880,54101,125779,179880,54101,125779,179879,54101,125778,0,0,0,0,0.0,0.0,0.0,0.0,199.86555555555555,60.11222222222222,139.75333333333333,0.3993592391523796,0.9481708315564689,0.14945235325170955,0.0007477644301254655,0.004744036486846672,0.003996272056721165,0.0034369947024970315,0.013669322780839368,0.02048492278695676,0.000748994288236808,0.0007472354301915999,0.004715352546896324,0.004756374334763268,1.3435370328496177e-06,1.4169778146878193e-06,0.004744036486846672,179879,199.86555555555555,1.3435370328496177e-06
Fila M/M/m/∞/∞/∞/FCFS,mmm_buffer_infinito_fcfs,base,3,5477028,200.0,250.0,0.8,,,0.3,2,exponential,1000.0,100.0,900.0,179650,54015,125635,179650,54015,125635,179650,54015,125635,0,0,0,0,0.0,0.0,0.0,0.0,199.61111111111111,60.016666666666666,139.59444444444443,0.39843014453440145,0.948179948947516,0.15131965987871315,0.0007580723289220253,0.0047501361205274945,0.003992063791605494,0.0034216302104681517,0.013758618480491685,0.020529734689916954,0.0007659874169364501,0.0007546693482311416,0.004743780923539834,0.00475286844802611,0.0,0.0,0.0047501361205274945,179650,199.61111111111111,0.0
Fila M/M/m/∞/∞/∞/FCFS,mmm_buffer_infinito_fcfs,base,4,5478028,200.0,250.0,0.8,,,0.3,2,exponential,1000.0,100.0,900.0,180456,53686,126770,180456,53686,126770,180455,53686,126769,0,0,0,0,0.0,0.0,0.0,0.0,200.50555555555556,59.65111111111111,140.85444444444445,0.4002185317014248,0.9557145830201725,0.15527751961732292,0.0007744300111140762,0.004766411854424239,0.00399198184331018,0.003433646258599765,0.013809218427411445,0.0206910489653643,0.0007813006847119532,0.0007715203172395832,0.004770581416042087,0.004764646067165399,2.2526142254730708e-05,2.3569947194428486e-05,0.004766411854424239,180455,200.50555555555556,2.2526142254730708e-05
Fila M/M/m/∞/∞/∞/FCFS,mmm_buffer_infinito_fcfs,base,5,5479028,200.0,250.0,0.8,,,0.3,2,exponential,1000.0,100.0,900.0,179415,54061,125354,179415,54061,125354,179414,54061,125353,0,0,0,0,0.0,0.0,0.0,0.0,199.3488888888889,60.06777777777778,139.2811111111111,0.39977537906907695,0.9545386537612534,0.15498789562309956,0.0007774705767709855,0.0047882553637952595,0.004010784787024327,0.0034444070318500053,0.013869589802044406,0.020859531908616717,0.000777758758022973,0.0007773462928155661,0.004783775308011629,0.0047901874778708605,5.267272405906631e-06,5.518134216096467e-06,0.0047882553637952595,179414,199.3488888888889,5.267272405906631e-06
Fila M/M/m/∞/∞/∞/FCFS,mmm_buffer_infinito_fcfs,base,6,5480028,200.0,250.0,0.8,,,0.3,2,exponential,1000.0,100.0,900.0,180665,54108,126557,180665,54108,126557,180664,54108,126556,0,0,0,0,0.0,0.0,0.0,0.0,200.73777777777778,60.12,140.61777777777777,0.4014670219336816,0.9550320881142047,0.15209804424684156,0.0007576900432432501,0.004757575016695764,0.003999884973452459,0.003439882879860079,0.013757519498420833,0.02043845367575841,0.0007570220289478416,0.0007579756473828876,0.00475483447457439,0.004758746713439524,7.051651623068977e-06,7.383680308577994e-06,0.004757575016695764,180664,200.73777777777778,7.051651623068977e-06
Fila M/M/m/∞/∞/∞/FCFS,mmm_buffer_infinito_fcfs,base,7,5481028,200.0,250.0,0.8,,,0.3,2,exponential,1000.0,100.0,900.0,180990,54773,126217,180990,54773,126217,180990,54773,126217,0,0,0,0,0.0,0.0,0.0,0.0,201.1,60.85888888888889,140.2411111111111,0.4015602308541263,0.956467684532497,0.15334722282424434,0.0007625421323930599,0.004756179435765773,0.003993637303372724,0.0034332980565068283,0.013774758062766063,0.020626264720279924,0.0007650962315947895,0.0007614337581203683,0.004767621607943267,0.004751214002451103,0.0,0.0,0.004756179435765773,180990,201.1,0.0
Fila M/M/m/∞/∞/∞/FCFS,mmm_buffer_infinito_fcfs,base,8,5482028,200.0,250.0,0.8,,,0.3,2,exponential,1000.0,100.0,900.0,178885,53638,125247,178885,53638,125247,178883,53638,125245,0,0,0,0,0.0,0.0,0.0,0.0,198.7588888888889,59.59777777777778,139.1611111111111,0.39904604446169534,0.9500178447514981,0.15192575582810755,0.0007643721328762197,0.00477968068997836,0.004015308557102158,0.003454510665278576,0.01386260177002896,0.02068678405591867,0.0007531484929430085,0.0007691788205582635,0.004776949155787967,0.004780850509379568,1.3821567721450378e-05,1.454874537126802e-05,0.00477968068997836,178883,198.7588888888889,1.3821567721450378e-05
Fila M/M/m/∞/∞/∞/FCFS,mmm_buffer_infinito_fcfs,base,9,5483028,200.0,250.0,0.8,,,0.3,2,exponential,1000.0,100.0,900.0,180419,54165,126254,180419,54165,126254,180418,54165,126253,0,0,0,0,0.0,0.0,0.0,0.0,200.46444444444444,60.18333333333333,140.2811111111111,0.40027148987399536,0.9558705352036649,0.15532755545567428,0.0007748074496706985,0.004768115676310611,0.003993308226639967,0.003454775738759963,0.013768533642436864,0.020403874252165208,0.0007662285955937087,0.0007784879454298502,0.004758794325723749,0.004772114717557452,3.287510521188253e-05,3.4392842964740944e-05,0.004768115676310611,180418,200.46444444444444,3.287510521188253e-05
