queue_name,queue_slug,scenario_id,replication,time,num_in_system,num_in_queue,busy_servers
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,100.0,10,9,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,101.0,6,5,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,102.0,3,2,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,103.0,11,10,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,104.0,5,4,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,105.0,4,3,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,106.0,4,3,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,107.0,9,8,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,108.0,0,0,0
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,109.0,4,3,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,110.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,111.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,112.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,113.0,10,9,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,114.0,4,3,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,115.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,116.0,4,3,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,117.0,0,0,0
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,118.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,119.0,12,11,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,120.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,121.0,3,2,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,122.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,123.0,0,0,0
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,124.0,14,13,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,125.0,6,5,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,126.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,127.0,0,0,0
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,128.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,129.0,8,7,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,130.0,10,9,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,131.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,132.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,133.0,4,3,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,134.0,5,4,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,135.0,3,2,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,136.0,4,3,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,137.0,4,3,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,138.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,139.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,140.0,4,3,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,141.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,142.0,9,8,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,143.0,11,10,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,144.0,8,7,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,145.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,146.0,3,2,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,147.0,3,2,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,148.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,149.0,20,19,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,150.0,4,3,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,151.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,152.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,153.0,3,2,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,154.0,6,5,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,155.0,4,3,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,156.0,5,4,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,157.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,158.0,4,3,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,159.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,160.0,20,19,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,161.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,162.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,163.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,164.0,8,7,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,165.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,166.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,167.0,0,0,0
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,168.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,169.0,8,7,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,170.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,171.0,9,8,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,172.0,0,0,0
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,173.0,3,2,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,174.0,19,18,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,175.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,176.0,6,5,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,177.0,0,0,0
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,178.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,179.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,180.0,9,8,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,181.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,182.0,5,4,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,183.0,3,2,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,184.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,185.0,6,5,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,186.0,6,5,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,187.0,0,0,0
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,188.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,189.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,190.0,4,3,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,191.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,192.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,193.0,3,2,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,194.0,9,8,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,195.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,196.0,0,0,0
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,197.0,12,11,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,198.0,0,0,0
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,199.0,6,5,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,200.0,1,0,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,201.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,202.0,4,3,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,203.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,204.0,16,15,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,205.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,206.0,4,3,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,207.0,2,1,1
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,208.0,4,3,1
