queue_name,queue_slug,scenario_id,replication,seed,lambda_rate,mu_rate,rho,K,N,p_high,servers,service_distribution,sim_time,warmup_time,measured_time,arrivals_total,arrivals_high,arrivals_low,accepted_total,accepted_high,accepted_low,served_total,served_high,served_low,dropped_total,dropped_high,dropped_low,replaced_low,loss_probability_total,loss_probability_high,loss_probability_low,replacement_probability_low,throughput_total,throughput_high,throughput_low,server_utilization,mean_system_occupancy,mean_queue_occupancy,mean_waiting_time,mean_system_time,mean_service_time,p50_system_time,p95_system_time,p99_system_time,mean_waiting_time_high,mean_waiting_time_low,mean_system_time_high,mean_system_time_low,little_law_error_abs,little_law_error_rel,mean_residence_time_admitted,departed_admitted_total,admitted_departure_rate,little_law_error_admitted
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,0,5474056,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179977,54028,125949,179977,54028,125949,179976,54028,125948,0,0,0,0,0.0,0.0,0.0,0.0,199.97333333333333,60.03111111111111,139.94222222222223,0.8003716574268755,3.850727799037693,3.0503561416108207,0.015252850922044538,0.019255058776324937,0.004002207854280536,0.010996503053434026,0.06622409113349192,0.10837177436910395,0.004186281729061011,0.020000084703910976,0.008194891761485126,0.023999546211439553,0.00022951200674103944,5.9602241113587696e-05,0.019255058776324937,179976,199.97333333333333,0.00022951200674103944
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,1,5475056,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179414,53971,125443,179414,53971,125443,179412,53971,125441,0,0,0,0,0.0,0.0,0.0,0.0,199.34666666666666,59.967777777777776,139.3788888888889,0.7944547264970466,3.8694539408207094,3.0749992143237,0.01542529716914698,0.019410527738353747,0.003985230569206838,0.010795764557300913,0.06789353181006276,0.11168253107020229,0.004177993909705612,0.020264450270727142,0.008165247857323124,0.024248810281215713,2.9937939018065407e-05,7.736993249160005e-06,0.019410527738353747,179412,199.34666666666666,2.9937939018065407e-05
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,2,5476056,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,180393,54398,125995,180393,54398,125995,180390,54397,125993,0,0,0,0,0.0,0.0,0.0,0.0,200.43333333333334,60.44111111111111,139.9922222222222,0.8023971728792487,3.9299526083197023,3.127555435440373,0.015603454450845532,0.01960653260721691,0.004003078156371438,0.011114790719432222,0.06832183263748845,0.1080926034926101,0.004227145276104976,0.02051513279947096,0.008219305449333705,0.02452292475366479,0.00014992274652581017,3.814874159256373e-05,0.01960653260721691,180390,200.43333333333334,0.00014992274652581017
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,3,5477056,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179654,53753,125901,179654,53753,125901,179654,53753,125901,0,0,0,0,0.0,0.0,0.0,0.0,199.61555555555555,59.72555555555556,139.89,0.8002432861857103,4.013572469332335,3.2133291831466564,0.016097427715131358,0.020106213342309318,0.0040087856271782355,0.011064610495893135,0.07097681332617967,0.1198160185203244,0.004203798427054369,0.021175371934176044,0.008227910699475633,0.025177613902751365,5.952288873700695e-05,1.4830400893921992e-05,0.020106213342309318,179654,199.61555555555555,5.952288873700695e-05
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,4,5478056,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,180058,53939,126119,180058,53939,126119,180058,53939,126119,0,0,0,0,0.0,0.0,0.0,0.0,200.06444444444443,59.93222222222222,140.13222222222223,0.8002459313341616,4.0686335417241635,3.2683876103900182,0.016336674012546137,0.020336614799407828,0.0039999407868616796,0.011122258823149878,0.07126011656653188,0.11948927957193291,0.004250773630394983,0.02150561271894935,0.008255317269513958,0.025503584942407183,3.019806626980426e-14,7.42216421314937e-15,0.020336614799407828,180058,200.06444444444443,3.019806626980426e-14
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,5,5479056,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179840,53460,126380,179840,53460,126380,179839,53460,126379,0,0,0,0,0.0,0.0,0.0,0.0,199.82111111111112,59.4,140.42111111111112,0.8017935509917561,4.081846202113639,3.280052651121846,0.016413838683069108,0.020426246804755188,0.004012408121685688,0.011171410738143095,0.07231114762602148,0.12162506714008023,0.0042618350404447294,0.021554298053175897,0.00823479102960305,0.025583394952308144,0.00025086975767418807,6.145987507914533e-05,0.020426246804755188,179839,199.82111111111112,0.00025086975767418807
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,6,5480056,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179519,53863,125656,179519,53863,125656,179516,53862,125654,0,0,0,0,0.0,0.0,0.0,0.0,199.4622222222222,59.846666666666664,139.61555555555555,0.8007821893875156,3.870148195137887,3.069366005750393,0.01538327363046974,0.019397572680745594,0.004014299050276353,0.011031337119788986,0.06735109293083497,0.10265660039437709,0.004180996067056665,0.020185166718795913,0.008202068235912215,0.024196562449536593,0.0010652425193029558,0.00027524592485663276,0.019397572680745594,179516,199.4622222222222,0.0010652425193029558
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,7,5481056,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,179409,53549,125860,179409,53549,125860,179406,53549,125857,0,0,0,0,0.0,0.0,0.0,0.0,199.34,59.49888888888889,139.8411111111111,0.7973282811707323,3.8959100759354652,3.0985817947647645,0.015542544058077179,0.019542024213805145,0.00399948015572834,0.010921127590478363,0.06852665246550771,0.11014693156979008,0.004229244156186291,0.02035606969786111,0.008237741827785082,0.024351713126531185,0.0004029691555476056,0.00010343389546814599,0.019542024213805145,179406,199.34,0.0004029691555476056
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,8,5482056,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,180246,54167,126079,180246,54167,126079,180230,54166,126064,0,0,0,0,0.0,0.0,0.0,0.0,200.25555555555556,60.184444444444445,140.07111111111112,0.7988852102825004,3.9007497181497808,3.101864507867391,0.015485496066980575,0.01947476556755131,0.003989269500570717,0.010939383974516659,0.0674790232423504,0.11235727623226689,0.004139629897402768,0.020360481684931785,0.00811985319811944,0.024353638072014457,0.0008197201055888392,0.00021014424529078787,0.01947476556755131,180230,200.25555555555556,0.0008197201055888392
Filas com Prioridade e sem Preempção,prioridade_sem_preempcao,base,9,5483056,200.0,250.0,0.8,,,0.3,1,exponential,1000.0,100.0,900.0,180559,53964,126595,180559,53964,126595,180555,53963,126592,0,0,0,0,0.0,0.0,0.0,0.0,200.61666666666667,59.958888888888886,140.65777777777777,0.8040884555489054,4.068939004123546,3.2648505485746244,0.0162737440284218,0.020281742015745174,0.004007997987323093,0.01120158557250761,0.071083887647012,0.11848953195405744,0.004238588527640311,0.021404029483179012,0.008254691281772088,0.02540857261133836,8.352673146827527e-05,2.052788979722418e-05,0.020281742015745174,180555,200.61666666666667,8.352673146827527e-05
